QuizID,Round,Question No,question,answer,choice
1,2,10,"Microsoft moved to the Redmond, WA Campus on",1981,D
2,1,11,Auguste Rodin's statue The Thinker is meant to represent what real-life person?,Auguste Rodin,C
2,1,11,Auguste Rodin's statue The Thinker is meant to represent what real-life person?,Dante Alighieri,A
2,1,11,Auguste Rodin's statue The Thinker is meant to represent what real-life person?,Michelangelo,B
1,1,11,What was the first product to have its barcode scanned at purchase?,Apple IIe,C
1,1,11,What was the first product to have its barcode scanned at purchase?,Rubik’s Cube,A
1,1,11,What was the first product to have its barcode scanned at purchase?,Wrigley's chewing gum,B
1,2,11,Which of these countries legally guarantees its citizens “freedom to roam”?,Brazil,A
1,2,11,Which of these countries legally guarantees its citizens “freedom to roam”?,Mongolia,C
1,2,11,Which of these countries legally guarantees its citizens “freedom to roam”?,Sweden,B
2,2,11,Which of these is NOT a term used in Olympic curling?,Burned stone,B
2,2,11,Which of these is NOT a term used in Olympic curling?,Chunked stone,C
2,2,11,Which of these is NOT a term used in Olympic curling?,Hogged stone,A
1,1,12,What is the correct spelling of the Pennsylvania town famous for its groundhog?,Puncksehtany,B
1,1,12,What is the correct spelling of the Pennsylvania town famous for its groundhog?,Punksatawany,A
1,1,12,What is the correct spelling of the Pennsylvania town famous for its groundhog?,Punxsutawney,C
2,1,12,Which of these songs was NOT recorded by the Beach Boys?,Surf City,B
2,1,12,Which of these songs was NOT recorded by the Beach Boys?,Surfer Girl,C
2,1,12,Which of these songs was NOT recorded by the Beach Boys?,Surf's Up,A
1,2,12,“INTJ” is a personality type based on a hypothesis by which psychiatrist?,B.F. Skinner,A
1,2,12,“INTJ” is a personality type based on a hypothesis by which psychiatrist?,Carl Jung,B
1,2,12,“INTJ” is a personality type based on a hypothesis by which psychiatrist?,Sigmund Freud,C
2,2,12,The “Cha-Cha Slide” includes a dance move named after what cartoon character?,Charlie Brown,C
2,2,12,The “Cha-Cha Slide” includes a dance move named after what cartoon character?,Daffy Duck,B
2,2,12,The “Cha-Cha Slide” includes a dance move named after what cartoon character?,Scooby-Doo,A
2,1,13,Microsoft launches Microsoft Office System,1999,D
2,1,13,Microsoft launches Microsoft Office System,2001,A
2,1,13,Microsoft launches Microsoft Office System,2002,B
2,1,13,Microsoft launches Microsoft Office System,2003,C
1,1,13,Which of these actors turned down the role of Frasier Crane?,Bob Balaban,A
1,1,13,Which of these actors turned down the role of Frasier Crane?,Dan Aykroyd,C
1,1,13,Which of these actors turned down the role of Frasier Crane?,John Lithgow,B
2,2,13,Portuguese is an official language of which country?,Equatorial Guinea,A
2,2,13,Portuguese is an official language of which country?,Papua New Guinea,B
2,2,13,Portuguese is an official language of which country?,Republic of Guinea,C
1,2,13,The earliest version of Office suite of productivity applications was introduced on,1979,A
1,2,13,The earliest version of Office suite of productivity applications was introduced on,1981,D
1,2,13,The earliest version of Office suite of productivity applications was introduced on,1982,C
1,2,13,The earliest version of Office suite of productivity applications was introduced on,1986,B
2,1,14,Bart's age on “The Simpsons” is NOT the same as which of these characters?,Ash from Pokémon,A
2,1,14,Bart's age on “The Simpsons” is NOT the same as which of these characters?,Encyclopedia Brown,B
2,1,14,Bart's age on “The Simpsons” is NOT the same as which of these characters?,Nancy Drew,C
1,1,14,In what medium was Superman’s Kryptonite weakness introduced?,Action Comics #64,C
1,1,14,In what medium was Superman’s Kryptonite weakness introduced?,The 1978 movie,B
1,1,14,In what medium was Superman’s Kryptonite weakness introduced?,The radio series,A
2,2,14,"According to Marie Kondo, you should only own material items with what quality?",Eco-friendly,A
2,2,14,"According to Marie Kondo, you should only own material items with what quality?",Spark joy,C
2,2,14,"According to Marie Kondo, you should only own material items with what quality?",Useful in daily life,B
1,2,14,Which of these activists is the subject of a song by John Lennon and Yoko Ono?,Angela Davis,A
1,2,14,Which of these activists is the subject of a song by John Lennon and Yoko Ono?,Bobby Seale,C
1,2,14,Which of these activists is the subject of a song by John Lennon and Yoko Ono?,"Martin Luther King, Jr.",B
2,1,15,A 1976 book by Richard Dawkins introduced what now-common word?,Android,A
2,1,15,A 1976 book by Richard Dawkins introduced what now-common word?,Emoticon,B
2,1,15,A 1976 book by Richard Dawkins introduced what now-common word?,Meme,C
1,1,15,What popular corn chip loosely translates to “little golden things” in Spanish?,Doritos,C
1,1,15,What popular corn chip loosely translates to “little golden things” in Spanish?,Fritos,B
1,1,15,What popular corn chip loosely translates to “little golden things” in Spanish?,Tostitos,A
2,2,15,Students of Auguste Escoffier would have known how to do what?,Design a chateau,A
2,2,15,Students of Auguste Escoffier would have known how to do what?,Perform a grand jeté,B
2,2,15,Students of Auguste Escoffier would have known how to do what?,Prepare a velouté,C
1,2,15,Which American car manufacturer first introduced seat belts?,Ford,B
1,2,15,Which American car manufacturer first introduced seat belts?,Jeep,A
1,2,15,Which American car manufacturer first introduced seat belts?,Nash,C
1,1,2,In what year was the RD Program established,1992,A
1,1,2,In what year was the RD Program established,1993,B
1,1,2,In what year was the RD Program established,1994,C
1,1,2,In what year was the RD Program established,1995,D
2,1,2,Which chemical compound would you NOT use to create red and blue fireworks?,Copper chloride,C
2,1,2,Which chemical compound would you NOT use to create red and blue fireworks?,Sodium nitrate,A
2,1,2,Which chemical compound would you NOT use to create red and blue fireworks?,Strontium carbonate,B
2,2,2,Microsoft launches Xbox 360,2003,C
2,2,2,Microsoft launches Xbox 360,2005,A
2,2,2,Microsoft launches Xbox 360,2006,B
2,2,2,Microsoft launches Xbox 360,2009,D
1,2,2,"When Microsoft moved from Albuquerque, New Mexico it moved to:","Bellevue, WA",A
1,2,2,"When Microsoft moved from Albuquerque, New Mexico it moved to:","Everett, WA",D
1,2,2,"When Microsoft moved from Albuquerque, New Mexico it moved to:","Redmond, WA",B
1,2,2,"When Microsoft moved from Albuquerque, New Mexico it moved to:","Seattle, WA",C
1,3,2,Microsoft researchers achieved human parity in conversational speech recognition in,2009,B
1,3,2,Microsoft researchers achieved human parity in conversational speech recognition in,2014,C
1,3,2,Microsoft researchers achieved human parity in conversational speech recognition in,2016,D
1,3,2,Microsoft researchers achieved human parity in conversational speech recognition in,2019,A
2,3,2,Satya Nadella was named chief executive officer of Microsoft in,2011,A
2,3,2,Satya Nadella was named chief executive officer of Microsoft in,2014,B
2,3,2,Satya Nadella was named chief executive officer of Microsoft in,2015,C
2,3,2,Satya Nadella was named chief executive officer of Microsoft in,2016,D
2,1,3,Microsoft launched Office XP on,1989,C
2,1,3,Microsoft launched Office XP on,1990,B
2,1,3,Microsoft launched Office XP on,1991,D
2,1,3,Microsoft launched Office XP on,1993,A
1,1,3,The Doors are named after a famous essay by the author of what iconic novel?,Brave New World,C
1,1,3,The Doors are named after a famous essay by the author of what iconic novel?,Lolita,A
1,1,3,The Doors are named after a famous essay by the author of what iconic novel?,On the Road,B
2,2,3,"In da Vinci’s “Last Supper,” which disciple is depicted holding a weapon?",John,C
2,2,3,"In da Vinci’s “Last Supper,” which disciple is depicted holding a weapon?",Judas,B
2,2,3,"In da Vinci’s “Last Supper,” which disciple is depicted holding a weapon?",Peter,A
1,2,3,What does bicameral mean?,Two camels,A
1,2,3,What does bicameral mean?,Two cameras,B
1,2,3,What does bicameral mean?,Two chambers,C
1,3,3,Microsoft’s LinkedIn acquisition was completed in,2014,D
1,3,3,Microsoft’s LinkedIn acquisition was completed in,2015,A
1,3,3,Microsoft’s LinkedIn acquisition was completed in,2016,C
1,3,3,Microsoft’s LinkedIn acquisition was completed in,2017,B
2,3,3,Minecraft joined Microsoft in,2012,A
2,3,3,Minecraft joined Microsoft in,2013,B
2,3,3,Minecraft joined Microsoft in,2014,C
2,3,3,Minecraft joined Microsoft in,2015,D
1,1,4,"In Word, the shortcut “Control-shift-D"" creates...",Delete all,C
1,1,4,"In Word, the shortcut “Control-shift-D"" creates...",Double underline,B
1,1,4,"In Word, the shortcut “Control-shift-D"" creates...",Outline text,D
1,1,4,"In Word, the shortcut “Control-shift-D"" creates...",Underline text,A
2,1,4,King Louis XIV’s Palace of Versailles contained over 150 pieces of furniture made entirely of what?,Ebony,C
2,1,4,King Louis XIV’s Palace of Versailles contained over 150 pieces of furniture made entirely of what?,Ivory,B
2,1,4,King Louis XIV’s Palace of Versailles contained over 150 pieces of furniture made entirely of what?,Silver,A
2,2,4,In 2009 Microsoft opened first physical store in,"New York, NY",B
2,2,4,In 2009 Microsoft opened first physical store in,"Redmond, WA",A
2,2,4,In 2009 Microsoft opened first physical store in,"Reno, NV",D
2,2,4,In 2009 Microsoft opened first physical store in,"Scottsdale, AZ",C
1,2,4,"Microsoft moved from Albuquerque, New Mexico in:",1976,C
1,2,4,"Microsoft moved from Albuquerque, New Mexico in:",1979,A
1,2,4,"Microsoft moved from Albuquerque, New Mexico in:",1980,B
1,2,4,"Microsoft moved from Albuquerque, New Mexico in:",1982,D
1,3,4,Microsoft completed the GitHub acquisition in,2014,D
1,3,4,Microsoft completed the GitHub acquisition in,2015,A
1,3,4,Microsoft completed the GitHub acquisition in,2017,B
1,3,4,Microsoft completed the GitHub acquisition in,2018,C
2,3,4,Microsoft launched Windows 10 in,2010,A
2,3,4,Microsoft launched Windows 10 in,2014,D
2,3,4,Microsoft launched Windows 10 in,2015,B
2,3,4,Microsoft launched Windows 10 in,2016,C
2,1,5,Microsoft launched Windows XP on,1999,D
2,1,5,Microsoft launched Windows XP on,2000,A
2,1,5,Microsoft launched Windows XP on,2001,C
2,1,5,Microsoft launched Windows XP on,2002,B
1,1,5,Who was the first U.S. president to enjoy indoor plumbing at the White House?,Andrew Jackson,B
1,1,5,Who was the first U.S. president to enjoy indoor plumbing at the White House?,John Adams,C
1,1,5,Who was the first U.S. president to enjoy indoor plumbing at the White House?,Millard Fillmore,A
2,2,5,What Olympic legend was the subject of a song in an Oscar-nominated 1999 film?,Brian Boitano,A
2,2,5,What Olympic legend was the subject of a song in an Oscar-nominated 1999 film?,Kristi Yamaguchi,B
2,2,5,What Olympic legend was the subject of a song in an Oscar-nominated 1999 film?,Michelle Kwan,C
1,2,5,"What singing voice type is higher than a bass, but lower than a tenor?",Baritone,A
1,2,5,"What singing voice type is higher than a bass, but lower than a tenor?",Countertenor,B
1,2,5,"What singing voice type is higher than a bass, but lower than a tenor?",Sopranist,C
1,3,5,Building 7 in Redmond is known for,Being hard to find,B
1,3,5,Building 7 in Redmond is known for,Great food,A
1,3,5,Building 7 in Redmond is known for,Its proximity to Lake Bill,C
1,3,5,Building 7 in Redmond is known for,The treehouses,D
2,3,5,Microsoft Philanthropies announced $1B in donations putting Microsoft Cloud to work for the public good in,2011,C
2,3,5,Microsoft Philanthropies announced $1B in donations putting Microsoft Cloud to work for the public good in,2014,D
2,3,5,Microsoft Philanthropies announced $1B in donations putting Microsoft Cloud to work for the public good in,2015,B
2,3,5,Microsoft Philanthropies announced $1B in donations putting Microsoft Cloud to work for the public good in,2016,A
1,1,6,In 1975 Gates and Allen originally named their company,Microcomputer,C
1,1,6,In 1975 Gates and Allen originally named their company,Micro-soft,A
1,1,6,In 1975 Gates and Allen originally named their company,MS-Dos,D
1,1,6,In 1975 Gates and Allen originally named their company,Traf-O-Data,B
2,1,6,Which of the following is NOT used to describe someone from that particular state?,Connecticuter,C
2,1,6,Which of the following is NOT used to describe someone from that particular state?,Utahn,B
2,1,6,Which of the following is NOT used to describe someone from that particular state?,Wisconsinian,A
2,2,6,Microsoft launches Office 365,2006,B
2,2,6,Microsoft launches Office 365,2009,D
2,2,6,Microsoft launches Office 365,2011,A
2,2,6,Microsoft launches Office 365,2012,C
1,2,6,Which of these is NOT a real berry?,Buffaloberry,A
1,2,6,Which of these is NOT a real berry?,Cloudberry,C
1,2,6,Which of these is NOT a real berry?,Iceberry,B
1,1,7,A bed that folds up into the wall is commonly known as what?,Fitzy bed,B
1,1,7,A bed that folds up into the wall is commonly known as what?,Murphy bed,C
1,1,7,A bed that folds up into the wall is commonly known as what?,Sully bed,A
2,1,7,Lonnie Johnson accidentally created the Supersoaker while trying to build what?,Efficient sprinklers,C
2,1,7,Lonnie Johnson accidentally created the Supersoaker while trying to build what?,Heat pump,A
2,1,7,Lonnie Johnson accidentally created the Supersoaker while trying to build what?,Nerf Blaster rival,B
1,2,7,Microsoft incorporated in,1976,C
1,2,7,Microsoft incorporated in,1979,A
1,2,7,Microsoft incorporated in,1980,B
1,2,7,Microsoft incorporated in,1981,D
2,2,7,The Ark of the Covenant supposedly contains what religious artifact?,Shroud of Turin,C
2,2,7,The Ark of the Covenant supposedly contains what religious artifact?,The Holy Grail,B
2,2,7,The Ark of the Covenant supposedly contains what religious artifact?,The Ten Commandments,A
2,1,8,"In gardening, what word refers to overall health and usability of soil?",Humus,C
2,1,8,"In gardening, what word refers to overall health and usability of soil?",Loam,A
2,1,8,"In gardening, what word refers to overall health and usability of soil?",Tilth,B
1,1,8,There are __ Community Program Managers around the world,10,C
1,1,8,There are __ Community Program Managers around the world,11,A
1,1,8,There are __ Community Program Managers around the world,14,B
1,1,8,There are __ Community Program Managers around the world,15,D
2,2,8,In 2011 Microsoft acquired:,GitHub,C
2,2,8,In 2011 Microsoft acquired:,LinkedIn,D
2,2,8,In 2011 Microsoft acquired:,Skype,A
2,2,8,In 2011 Microsoft acquired:,Yammer,B
1,2,8,What is the name of a Japanese art form that features trees grown in containers?,Bonsai,B
1,2,8,What is the name of a Japanese art form that features trees grown in containers?,Kawaii,A
1,2,8,What is the name of a Japanese art form that features trees grown in containers?,Manga,C
2,1,9,Microsoft launched Xbox on,1999,D
2,1,9,Microsoft launched Xbox on,2001,A
2,1,9,Microsoft launched Xbox on,2002,B
2,1,9,Microsoft launched Xbox on,2003,C
1,1,9,Which of these is a real illness that affects rabbits?,Fluffles,B
1,1,9,Which of these is a real illness that affects rabbits?,Ruffles,A
1,1,9,Which of these is a real illness that affects rabbits?,Snuffles,C
1,2,9,Where did Bernese Mountain Dogs originate?,Afghanistan,C
1,2,9,Where did Bernese Mountain Dogs originate?,Myanmar,A
1,2,9,Where did Bernese Mountain Dogs originate?,Switzerland,B
2,2,9,Which of these actors is incapable of making a fist with his left hand?,Al Pacino,A
2,2,9,Which of these actors is incapable of making a fist with his left hand?,Anthony Hopkins,C
2,2,9,Which of these actors is incapable of making a fist with his left hand?,Morgan Freeman,B
