QID,question,answer,correct,choice
1056,A famous 1977 FBI sting to unmask KGB operatives had what curious name?,Moscow-Mule,FALSE,A
1150,A famous Emily Dickinson poem compared which of these phenomena to a bee?,Fame,TRUE,B
1150,A famous Emily Dickinson poem compared which of these phenomena to a bee?,Hope,FALSE,A
1150,A famous Emily Dickinson poem compared which of these phenomena to a bee?,Joy,FALSE,C
286,A famous fossil found in an English cave has what cheesy name?,Cheddar Man,TRUE,C
286,A famous fossil found in an English cave has what cheesy name?,Roquefort Man,FALSE,B
286,A famous fossil found in an English cave has what cheesy name?,Stilton Man,FALSE,A
370,A famously counterintuitive logic puzzle is named for what game show host?,Bob Barker,FALSE,A
370,A famously counterintuitive logic puzzle is named for what game show host?,Monty Hall,TRUE,C
370,A famously counterintuitive logic puzzle is named for what game show host?,Richard Dawson,FALSE,B
1189,A founder of publishing house Simon &amp; Schuster is the parent of a famous what?,Architect,FALSE,A
1189,A founder of publishing house Simon &amp; Schuster is the parent of a famous what?,Athlete,FALSE,C
1189,A founder of publishing house Simon &amp; Schuster is the parent of a famous what?,Singer,TRUE,B
72,A galleon is an old-fashioned type of what?,Dress,FALSE,C
72,A galleon is an old-fashioned type of what?,Measurement,FALSE,B
72,A galleon is an old-fashioned type of what?,Ship,TRUE,A
35,A high-tech store with no cashiers recently opened in Seattle under what name?,Amazon Go,TRUE,A
35,A high-tech store with no cashiers recently opened in Seattle under what name?,Google Shop,FALSE,B
35,A high-tech store with no cashiers recently opened in Seattle under what name?,Microsoft Zip,FALSE,C
1249,A house in need of repairs and remodeling is known as what?,Fixer-upper,TRUE,B
1249,A house in need of repairs and remodeling is known as what?,Trash can-lugger,FALSE,C
1249,A house in need of repairs and remodeling is known as what?,Tree-plugger,FALSE,A
1077,A late 19th-century essay introduced the concept of brunch as a way to address what?,Hangover,TRUE,C
1077,A late 19th-century essay introduced the concept of brunch as a way to address what?,Lack of funds,FALSE,B
1077,A late 19th-century essay introduced the concept of brunch as a way to address what?,Loss of appetite,FALSE,A
594,A lifeguard is most likely to keep watch over what?,Chess match,FALSE,C
594,A lifeguard is most likely to keep watch over what?,Movie drive-in,FALSE,B
594,A lifeguard is most likely to keep watch over what?,Swimming pool,TRUE,A
567,A Londoner born within earshot of the St. Mary-le-Bow bells is said to be what?,Blessed,FALSE,B
567,A Londoner born within earshot of the St. Mary-le-Bow bells is said to be what?,Cockney,TRUE,C
567,A Londoner born within earshot of the St. Mary-le-Bow bells is said to be what?,Lion-hearted,FALSE,A
463,A men's size 10 shoe in the U.S. is what size in Japan?,Size 10,FALSE,A
463,A men's size 10 shoe in the U.S. is what size in Japan?,Size 28,TRUE,C
463,A men's size 10 shoe in the U.S. is what size in Japan?,Size 7.5,FALSE,B
540,A nebulizer helps administer medical treatment in what form?,Electrical current,FALSE,C
540,A nebulizer helps administer medical treatment in what form?,Mist,TRUE,A
540,A nebulizer helps administer medical treatment in what form?,Pills,FALSE,B
1407,A person who can’t decide something is said to be “sitting on the” what?,Blockchain,FALSE,A
1407,A person who can’t decide something is said to be “sitting on the” what?,Dock of the bay,FALSE,B
1407,A person who can’t decide something is said to be “sitting on the” what?,Fence,TRUE,C
310,A person writing clearly and correctly is often said to be following “Strunk and” whom?,Follett,FALSE,B
310,A person writing clearly and correctly is often said to be following “Strunk and” whom?,Robert,FALSE,C
310,A person writing clearly and correctly is often said to be following “Strunk and” whom?,White,TRUE,A
771,A photo of Meryl Streep yelling through her hands was taken at what 2015 awards show?,Golden Globes,FALSE,B
771,A photo of Meryl Streep yelling through her hands was taken at what 2015 awards show?,Oscars,FALSE,A
771,A photo of Meryl Streep yelling through her hands was taken at what 2015 awards show?,SAG Awards,TRUE,C
1250,A police officer can search your house without a warrant if they have what cause?,Acute,FALSE,C
1250,A police officer can search your house without a warrant if they have what cause?,Notable,FALSE,A
1250,A police officer can search your house without a warrant if they have what cause?,Probable,TRUE,B
787,A popular board game is titled “Chutes and” what?,Ladders,TRUE,B
787,A popular board game is titled “Chutes and” what?,Lawyers,FALSE,C
787,A popular board game is titled “Chutes and” what?,Leopards,FALSE,A
1181,A popular card game involves telling your opponent to do what?,Get a job,FALSE,A
1181,A popular card game involves telling your opponent to do what?,Go fish,TRUE,B
1181,A popular card game involves telling your opponent to do what?,Go get me a coffee,FALSE,C
1051,A restaurant dish that is prepared when you order it is said to be cooked how?,A la carte,FALSE,C
1051,A restaurant dish that is prepared when you order it is said to be cooked how?,A la minute,TRUE,B
1051,A restaurant dish that is prepared when you order it is said to be cooked how?,A la plancha,FALSE,A
1345,A single piece of clothing that covers the entire body is called what?,Onesie,TRUE,C
1345,A single piece of clothing that covers the entire body is called what?,Whatsie,FALSE,A
1345,A single piece of clothing that covers the entire body is called what?,Whosie,FALSE,B
1034,A son of Rutherford B. Hayes co-founded a company that invented what household item?,Brillo pad,FALSE,A
1034,A son of Rutherford B. Hayes co-founded a company that invented what household item?,D battery,TRUE,C
1034,A son of Rutherford B. Hayes co-founded a company that invented what household item?,Vacuum cleaner,FALSE,B
44,A spork is a utensil that combines what two things?,Spam / pork,FALSE,A
44,A spork is a utensil that combines what two things?,Sponge / cork,FALSE,B
44,A spork is a utensil that combines what two things?,Spoon / fork,TRUE,C
263,A stylized depiction of the Matterhorn is featured in what corporate logo?,Paramount Pictures,FALSE,B
263,A stylized depiction of the Matterhorn is featured in what corporate logo?,The North Face,FALSE,C
263,A stylized depiction of the Matterhorn is featured in what corporate logo?,Toblerone,TRUE,A
511,A successful jeans designer shares her name with which of these buildings?,30 Rockefeller Plaza,FALSE,B
511,A successful jeans designer shares her name with which of these buildings?,Hearst Tower,FALSE,A
511,A successful jeans designer shares her name with which of these buildings?,One Vanderbilt,TRUE,C
262,A tarantula hawk is a type of what?,Bird,FALSE,A
262,A tarantula hawk is a type of what?,Snake,FALSE,B
262,A tarantula hawk is a type of what?,Wasp,TRUE,C
761,A unicorn typically has one what on its head?,Horn,TRUE,A
761,A unicorn typically has one what on its head?,Mustache,FALSE,B
761,A unicorn typically has one what on its head?,Nacho hat,FALSE,C
198,Aaron Sorkin &amp; Quentin Tarantino helped write the screenplay to which movie?,Con Air,FALSE,B
198,Aaron Sorkin &amp; Quentin Tarantino helped write the screenplay to which movie?,Face/Off,FALSE,C
198,Aaron Sorkin &amp; Quentin Tarantino helped write the screenplay to which movie?,The Rock,TRUE,A
1479,About how long does light from our Sun take to reach Earth?,3.8 minutes,FALSE,B
1479,About how long does light from our Sun take to reach Earth?,38 seconds,FALSE,C
1479,About how long does light from our Sun take to reach Earth?,8.3 minutes,TRUE,A
942,Abraham Lincoln is known for wearing what kind of headgear?,Propeller cap,FALSE,A
942,Abraham Lincoln is known for wearing what kind of headgear?,Stovepipe hat,TRUE,B
942,Abraham Lincoln is known for wearing what kind of headgear?,Supreme beanie,FALSE,C
729,Abraham Lincoln served Illinois as a member of which branch of Congress?,House of Representatives,TRUE,B
729,Abraham Lincoln served Illinois as a member of which branch of Congress?,Neither,FALSE,A
729,Abraham Lincoln served Illinois as a member of which branch of Congress?,Senate,FALSE,C
1011,"According to a famous saying, “a journey of a thousand miles begins with a single” what?",Energy drink,FALSE,A
1011,"According to a famous saying, “a journey of a thousand miles begins with a single” what?",Ride-hailing app,FALSE,C
1011,"According to a famous saying, “a journey of a thousand miles begins with a single” what?",Step,TRUE,B
963,"According to an infamous ’80s hoax, April Fools’ Day was created by a Roman court jester named what?",Boskin,FALSE,C
963,"According to an infamous ’80s hoax, April Fools’ Day was created by a Roman court jester named what?",Constantine,FALSE,B
963,"According to an infamous ’80s hoax, April Fools’ Day was created by a Roman court jester named what?",Kugel,TRUE,A
1371,"According to an old saying, “You can’t judge a book by its” what?",Cover,TRUE,C
1371,"According to an old saying, “You can’t judge a book by its” what?",Index,FALSE,A
1371,"According to an old saying, “You can’t judge a book by its” what?",Klout Score,FALSE,B
1118,"According to ancient Rome’s iconic epic, what hero was hidden inside the Trojan Horse?",Achilles,FALSE,C
1118,"According to ancient Rome’s iconic epic, what hero was hidden inside the Trojan Horse?",Hercules,FALSE,A
1118,"According to ancient Rome’s iconic epic, what hero was hidden inside the Trojan Horse?",Ulysses,TRUE,B
589,"According to Emily Post, what is the ONLY fork placed on the right side of the plate?",Dessert fork,FALSE,C
589,"According to Emily Post, what is the ONLY fork placed on the right side of the plate?",Oyster fork,TRUE,A
589,"According to Emily Post, what is the ONLY fork placed on the right side of the plate?",Salad fork,FALSE,B
1222,"According to its inventor, the graphics format spelled G-I-F is pronounced how?",“gif”,FALSE,A
1222,"According to its inventor, the graphics format spelled G-I-F is pronounced how?",“jif”,TRUE,B
1222,"According to its inventor, the graphics format spelled G-I-F is pronounced how?",“zhif”,FALSE,C
1216,"According to Kermit the Frog, “It’s not easy being” what?",Gorgeous,FALSE,B
1216,"According to Kermit the Frog, “It’s not easy being” what?",Goth,FALSE,C
1216,"According to Kermit the Frog, “It’s not easy being” what?",Green,TRUE,A
725,"According to legend, everything King Midas touched turned to what?",Funnel cakes,FALSE,C
725,"According to legend, everything King Midas touched turned to what?",Gold,TRUE,B
725,"According to legend, everything King Midas touched turned to what?",Ovaltine,FALSE,A
593,"According to legend, what did St. Patrick drive out of Ireland?",All of the snakes,TRUE,A
593,"According to legend, what did St. Patrick drive out of Ireland?",Miss Daisy,FALSE,C
593,"According to legend, what did St. Patrick drive out of Ireland?",Tesla roadster,FALSE,B
180,"According to legend, what vessel is most likely to contain a wish-granting genie?",Magic lamp,TRUE,B
180,"According to legend, what vessel is most likely to contain a wish-granting genie?",Magic limo,FALSE,A
180,"According to legend, what vessel is most likely to contain a wish-granting genie?",Magic loofah,FALSE,C
1267,"According to lore, what did the Sphinx ask for before allowing visitors into Thebes?",Answer a riddle,TRUE,C
1267,"According to lore, what did the Sphinx ask for before allowing visitors into Thebes?",Offer a gift,FALSE,A
1267,"According to lore, what did the Sphinx ask for before allowing visitors into Thebes?",Pay a toll,FALSE,B
162,"According to Marie Kondo, you should only own material items with what quality?",Eco-friendly,FALSE,A
162,"According to Marie Kondo, you should only own material items with what quality?",Spark joy,TRUE,C
162,"According to Marie Kondo, you should only own material items with what quality?",Useful in daily life,FALSE,B
1458,"According to old superstition, in order to avoid a jinx you should knock on what?",The Mona Lisa,FALSE,C
1458,"According to old superstition, in order to avoid a jinx you should knock on what?",Wood,TRUE,A
1458,"According to old superstition, in order to avoid a jinx you should knock on what?",Your neighbor’s window,FALSE,B
1254,"According to the author of “Harry Potter,” where is Hogwarts?",England,FALSE,B
1254,"According to the author of “Harry Potter,” where is Hogwarts?",Ireland,FALSE,A
1254,"According to the author of “Harry Potter,” where is Hogwarts?",Scotland,TRUE,C
152,"According to the Book of Leviticus, which of these animals is kosher to eat?",Cricket,TRUE,B
152,"According to the Book of Leviticus, which of these animals is kosher to eat?",Owl,FALSE,A
152,"According to the Book of Leviticus, which of these animals is kosher to eat?",Rabbit,FALSE,C
990,"According to the cartoon's theme song, what made Clifford the Big Red Dog so big?",Acromegaly,FALSE,A
990,"According to the cartoon's theme song, what made Clifford the Big Red Dog so big?",Emily Elizabeth's love,TRUE,C
990,"According to the cartoon's theme song, what made Clifford the Big Red Dog so big?",Radiation,FALSE,B
237,"According to the Chinese zodiac, 2018 is now officially the Year of the what?",Careless Whisper,FALSE,C
237,"According to the Chinese zodiac, 2018 is now officially the Year of the what?",Dog,TRUE,A
237,"According to the Chinese zodiac, 2018 is now officially the Year of the what?",Surly Neighbor,FALSE,B
1231,"According to the creator, which of these classic characters is actually NOT a cat?",Felix the Cat,FALSE,C
1231,"According to the creator, which of these classic characters is actually NOT a cat?",Hello Kitty,TRUE,B
1231,"According to the creator, which of these classic characters is actually NOT a cat?",The Cat in the Hat,FALSE,A
1144,"According to the old saying, “actions speak louder than” what?",Washing machines,FALSE,B
1144,"According to the old saying, “actions speak louder than” what?",Wendy Williams,FALSE,C
1144,"According to the old saying, “actions speak louder than” what?",Words,TRUE,A
907,"According to the old song “Row, Row, Row Your Boat,” life is but a what?",Bitcoin scam,FALSE,C
907,"According to the old song “Row, Row, Row Your Boat,” life is but a what?",Dream,TRUE,A
907,"According to the old song “Row, Row, Row Your Boat,” life is but a what?",Massive phoenix tattoo,FALSE,B
260,"According to the title of a classic horror movie, “The Hills Have” what?",Eyes,TRUE,B
260,"According to the title of a classic horror movie, “The Hills Have” what?",So Many Questions,FALSE,C
260,"According to the title of a classic horror movie, “The Hills Have” what?",Ugly Christmas sweaters,FALSE,A
446,"According to the U.S. government, which of these is correct?",Daylight Saving Time,TRUE,A
446,"According to the U.S. government, which of these is correct?",Daylight Savings Time,FALSE,B
446,"According to the U.S. government, which of these is correct?",Daylight Saving's Time,FALSE,C
516,Actor John Wayne is most famous for playing what kind of character?,Big city lawyer,FALSE,B
516,Actor John Wayne is most famous for playing what kind of character?,Boss baby,FALSE,C
516,Actor John Wayne is most famous for playing what kind of character?,Cowboy,TRUE,A
928,Adam Sandler did NOT receive a Kids Choice Award for his work in which movie?,Grown Ups 2,FALSE,B
928,Adam Sandler did NOT receive a Kids Choice Award for his work in which movie?,Happy Gilmore,TRUE,C
928,Adam Sandler did NOT receive a Kids Choice Award for his work in which movie?,Mr. Deeds,FALSE,A
27,Aerosmith’s “Dude (Looks Like a Lady)” was written about what heavy metal vocalist?,Axl Rose,FALSE,A
27,Aerosmith’s “Dude (Looks Like a Lady)” was written about what heavy metal vocalist?,Bret Michaels,FALSE,B
27,Aerosmith’s “Dude (Looks Like a Lady)” was written about what heavy metal vocalist?,Vince Neil,TRUE,C
54,"After Prince Edward Island, what is Canada’s most densely populated province?",New Brunswick,FALSE,A
54,"After Prince Edward Island, what is Canada’s most densely populated province?",Nova Scotia,TRUE,C
54,"After Prince Edward Island, what is Canada’s most densely populated province?",Ontario,FALSE,B
1221,"Along with California, what state was the first to pass a medical marijuana proposition?",Alaska,FALSE,A
1221,"Along with California, what state was the first to pass a medical marijuana proposition?",Arizona,TRUE,C
1221,"Along with California, what state was the first to pass a medical marijuana proposition?",Colorado,FALSE,B
132,"Among U.S. astronauts, what distinction does Sally Ride have?","",FALSE,C
132,"Among U.S. astronauts, what distinction does Sally Ride have?",Most missions flown,FALSE,B
132,"Among U.S. astronauts, what distinction does Sally Ride have?",Youngest to go to space,TRUE,A
574,"Among U.S. state capitals, what is unique about Vermont’s?",Farthest north,FALSE,B
574,"Among U.S. state capitals, what is unique about Vermont’s?",Least populated,TRUE,C
574,"Among U.S. state capitals, what is unique about Vermont’s?",Only French name,FALSE,A
815,Amtrak trains do NOT stop in which of these places?,Glacier National Park,FALSE,A
815,Amtrak trains do NOT stop in which of these places?,"Langley, VA",TRUE,B
815,Amtrak trains do NOT stop in which of these places?,Niagara Falls,FALSE,C
659,An annual holiday at Emory University features students being let out of class by what?,Male cheerleaders,FALSE,C
659,An annual holiday at Emory University features students being let out of class by what?,Peach mascot,FALSE,B
659,An annual holiday at Emory University features students being let out of class by what?,Skeleton,TRUE,A
207,Ancient Egyptians shaved their eyebrows when what occurred?,Harvest was bountiful,FALSE,C
207,Ancient Egyptians shaved their eyebrows when what occurred?,House cat passed away,TRUE,B
207,Ancient Egyptians shaved their eyebrows when what occurred?,Pharaoh became ill,FALSE,A
1437,Another way to express the number 1000 is to write “ten to the” what?,Tenth power,FALSE,B
1437,Another way to express the number 1000 is to write “ten to the” what?,Third power,TRUE,C
1437,Another way to express the number 1000 is to write “ten to the” what?,Thousandth power,FALSE,A
477,Antoni Gaudí's famous Sagrada Família cathedral can be found in what country?,France,FALSE,A
477,Antoni Gaudí's famous Sagrada Família cathedral can be found in what country?,Germany,FALSE,C
477,Antoni Gaudí's famous Sagrada Família cathedral can be found in what country?,Spain,TRUE,B
339,Armenia and Estonia are former members of which group of countries?,Soviet Union,TRUE,A
339,Armenia and Estonia are former members of which group of countries?,United Kingdom,FALSE,C
339,Armenia and Estonia are former members of which group of countries?,United States,FALSE,B
523,"Around since 1996, which of these is one of the first-generation Pokémon?",Jumpluff,FALSE,B
523,"Around since 1996, which of these is one of the first-generation Pokémon?",Pupitar,FALSE,A
523,"Around since 1996, which of these is one of the first-generation Pokémon?",Seaking,TRUE,C
334,"As of 2017, which of these industries had the highest percentage of the UK's GDP?",Construction,FALSE,C
334,"As of 2017, which of these industries had the highest percentage of the UK's GDP?",Service,TRUE,A
334,"As of 2017, which of these industries had the highest percentage of the UK's GDP?",Travel,FALSE,B
582,"As the old saying goes, when all you've got is a hammer, everything looks like a what?",Birthday cake,FALSE,A
582,"As the old saying goes, when all you've got is a hammer, everything looks like a what?",Nail,TRUE,C
582,"As the old saying goes, when all you've got is a hammer, everything looks like a what?",Thor,FALSE,B
781,"Aside from Walt Disney, the most Oscar-nominated person in history is known for what?",Composing,TRUE,C
781,"Aside from Walt Disney, the most Oscar-nominated person in history is known for what?",Costume design,FALSE,B
781,"Aside from Walt Disney, the most Oscar-nominated person in history is known for what?",Visual effects,FALSE,A
182,"At New Orleans Mardi Gras, what are float riders required to wear by law?",Masks,TRUE,B
182,"At New Orleans Mardi Gras, what are float riders required to wear by law?",Sweater vests,FALSE,C
182,"At New Orleans Mardi Gras, what are float riders required to wear by law?",Tuxedos,FALSE,A
145,Auguste Rodin's statue The Thinker is meant to represent what real-life person?,Auguste Rodin,FALSE,C
145,Auguste Rodin's statue The Thinker is meant to represent what real-life person?,Dante Alighieri,TRUE,A
145,Auguste Rodin's statue The Thinker is meant to represent what real-life person?,Michelangelo,FALSE,B
1287,Author Ian Fleming created what spy code-named 007?,James Bond,TRUE,B
1287,Author Ian Fleming created what spy code-named 007?,Spyin’ Gosling,FALSE,C
1287,Author Ian Fleming created what spy code-named 007?,Spyler the Creator,FALSE,A
153,Bart's age on “The Simpsons” is NOT the same as which of these characters?,Ash from Pokémon,FALSE,A
153,Bart's age on “The Simpsons” is NOT the same as which of these characters?,Encyclopedia Brown,FALSE,B
153,Bart's age on “The Simpsons” is NOT the same as which of these characters?,Nancy Drew,TRUE,C
1294,"Because he likes the “lessons,” what film has the rapper known as Puff Daddy watched at least 63 times?",Big,FALSE,B
1294,"Because he likes the “lessons,” what film has the rapper known as Puff Daddy watched at least 63 times?",Scarface,TRUE,A
1294,"Because he likes the “lessons,” what film has the rapper known as Puff Daddy watched at least 63 times?",Titanic,FALSE,C
1212,"Before “This American Life,” Ira Glass was the co-host of an NPR show based in what city?",Boston,FALSE,B
